[UE 9 | RB 1] Throughput = 1.37108 Mbps
[UE 10 | RB 1] Throughput = 1.48534 Mbps
[UE 1 | RB 1] Throughput = 1.37656 Mbps
[UE 4 | RB 1] Throughput = 1.19701 Mbps
[UE 7 | RB 1] Throughput = 1.43641 Mbps
[UE 9 | RB 1] Throughput = 1.43641 Mbps
[UE 10 | RB 1] Throughput = 1.25686 Mbps
[UE 1 | RB 1] Throughput = 1.01825 Mbps
[UE 4 | RB 1] Throughput = 1.43753 Mbps
[UE 7 | RB 1] Throughput = 1.01825 Mbps
[UE 9 | RB 1] Throughput = 1.37763 Mbps
[UE 10 | RB 1] Throughput = 1.61722 Mbps
[UE 1 | RB 1] Throughput = 1.08653 Mbps
[UE 4 | RB 1] Throughput = 0.97216 Mbps
[UE 7 | RB 1] Throughput = 1.08653 Mbps
[UE 9 | RB 1] Throughput = 0.97216 Mbps
[UE 10 | RB 1] Throughput = 1.37246 Mbps
[UE 1 | RB 1] Throughput = 1.07654 Mbps
[UE 4 | RB 1] Throughput = 1.01673 Mbps
[UE 7 | RB 1] Throughput = 1.13635 Mbps
[UE 9 | RB 1] Throughput = 0.89712 Mbps
[UE 10 | RB 1] Throughput = 1.43539 Mbps
[UE 1 | RB 1] Throughput = 0.95822 Mbps
[UE 4 | RB 1] Throughput = 1.07800 Mbps
[UE 7 | RB 1] Throughput = 0.69556 Mbps
[UE 9 | RB 1] Throughput = 1.19778 Mbps
[UE 10 | RB 1] Throughput = 1.19778 Mbps
[UE 1 | RB 1] Throughput = 0.78608 Mbps
[UE 4 | RB 1] Throughput = 0.70777 Mbps
[UE 7 | RB 1] Throughput = 0.00703 Mbps
[UE 9 | RB 1] Throughput = 0.76500 Mbps
[UE 10 | RB 1] Throughput = 1.47277 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.02104 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.02104 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 0.00000 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 7 | RB 1] Throughput = 0.00000 Mbps
[UE 9 | RB 1] Throughput = 0.00000 Mbps
[UE 10 | RB 1] Throughput = 0.00000 Mbp
