[UE 9 | RB 1] Throughput = 1.08814 Mbps
[UE 10 | RB 1] Throughput = 1.03087 Mbps
[UE 1 | RB 1] Throughput = 1.25770 Mbps
[UE 7 | RB 1] Throughput = 1.67693 Mbps
[UE 8 | RB 1] Throughput = 1.13792 Mbps
[UE 9 | RB 1] Throughput = 1.01814 Mbps
[UE 10 | RB 1] Throughput = 1.01814 Mbps
[UE 1 | RB 1] Throughput = 0.77710 Mbps
[UE 7 | RB 1] Throughput = 0.53799 Mbps
[UE 8 | RB 1] Throughput = 1.13576 Mbps
[UE 9 | RB 1] Throughput = 1.43464 Mbps
[UE 10 | RB 1] Throughput = 1.13576 Mbps
[UE 1 | RB 1] Throughput = 1.25802 Mbps
[UE 7 | RB 1] Throughput = 0.97211 Mbps
[UE 8 | RB 1] Throughput = 0.80056 Mbps
[UE 9 | RB 1] Throughput = 0.91492 Mbps
[UE 10 | RB 1] Throughput = 0.68619 Mbps
[UE 2 | RB 1] Throughput = 0.04448 Mbps
[UE 4 | RB 1] Throughput = 0.00000 Mbps
[UE 6 | RB 1] Throughput = 0.03336 Mbps
[UE 3 | RB 1] Throughput = 0.03336 Mbps
[UE 5 | RB 1] Throughput = 0.03336 Mbps
[UE 1 | RB 1] Throughput = 1.07762 Mbps
[UE 7 | RB 1] Throughput = 1.31709 Mbps
[UE 8 | RB 1] Throughput = 0.77828 Mbps
[UE 9 | RB 1] Throughput = 0.77828 Mbps
[UE 10 | RB 1] Throughput = 1.19736 Mbps
[UE 2 | RB 1] Throughput = 2.70843 Mbps
[UE 4 | RB 1] Throughput = 2.76485 Mbps
[UE 6 | RB 1] Throughput = 2.42630 Mbps
[UE 3 | RB 1] Throughput = 2.59558 Mbps
[UE 5 | RB 1] Throughput = 2.53915 Mbps
[UE 1 | RB 1] Throughput = 1.08428 Mbps
[UE 7 | RB 1] Throughput = 1.19842 Mbps
[UE 8 | RB 1] Throughput = 1.65496 Mbps
[UE 9 | RB 1] Throughput = 1.19842 Mbps
[UE 10 | RB 1] Throughput = 1.14135 Mbps
[UE 2 | RB 1] Throughput = 0.91425 Mbps
[UE 4 | RB 1] Throughput = 0.34284 Mbps
[UE 6 | RB 1] Throughput = 0.51426 Mbps
[UE 3 | RB 1] Throughput = 0.62854 Mbps
[UE 5 | RB 1] Throughput = 0.57140 Mbps
[UE 1 | RB 1] Throughput = 1.20085 Mbps
[UE 7 | RB 1] Throughput = 1.54395 Mbps
[UE 8 | RB 1] Throughput = 0.80057 Mbps
[UE 9 | RB 1] Throughput = 1.37240 Mbps
[UE 10 | RB 1] Throughput = 0.80057 Mbps
[UE 1 | RB 1] Throughput = 0.95677 Mbps
[UE 7 | RB 1] Throughput = 0.95677 Mbps
[UE 8 | RB 1] Throughput = 1.25576 Mbps
[UE 9 | RB 1] Throughput = 0.77738 Mbps
[UE 10 | RB 1] Throughput = 1.13617 Mbps
[UE 1 | RB 1] Throughput = 0.71898 Mbps
[UE 7 | RB 1] Throughput = 0.89872 Mbps
[UE 8 | RB 1] Throughput = 0.95863 Mbps
[UE 9 | RB 1] Throughput = 1.31812 Mbps
[UE 10 | RB 1] Throughput = 1.19829 Mbps
[UE 1 | RB 1] Throughput = 1.43802 Mbps
[UE 7 | RB 1] Throughput = 1.25826 Mbps
[UE 8 | RB 1] Throughput = 1.25826 Mbps
[UE 9 | RB 1] Throughput = 1.25826 Mbps
[UE 10 | RB 1] Throughput = 0.95868 Mbps
[UE 1 | RB 1] Throughput = 1.37605 Mbps
[UE 7 | RB 1] Throughput = 0.89743 Mbps
[UE 8 | RB 1] Throughput = 1.37605 Mbps
[UE 9 | RB 1] Throughput = 1.19657 Mbps
[UE 10 | RB 1] Throughput = 1.19657 Mbps
[UE 2 | RB 1] Throughput = 0.04305 Mbps
[UE 4 | RB 1] Throughput = 0.04305 Mbps
[UE 6 | RB 1] Throughput = 0.04305 Mbps
[UE 3 | RB 1] Throughput = 0.00000 Mbps
[UE 5 | RB 1] Throughput = 0.00000 Mbps
[UE 1 | RB 1] Throughput = 1.37157 Mbps
[UE 7 | RB 1] Throughput = 1.25727 Mbps
[UE 8 | RB 1] Throughput = 0.85723 Mbps
[UE 9 | RB 1] Throughput = 0.91438 Mbps
[UE 10 | RB 1] Throughput = 1.60016 Mbps
[UE 1 | RB 1] Throughput = 1.25824 Mbps
[UE 7 | RB 1] Throughput = 1.25824 Mbps
[UE 8 | RB 1] Throughput = 1.31815 Mbps
[UE 9 | RB 1] Throughput = 1.43799 Mbps
