Time_ms,UE_ID,Mean_SNR_dB,Std_SNR_dB,Mean_UL_SE_bit_per_s_Hz,Std_UL_SE_bit_per_s_Hz
13800,15599,52.5,0.0,17.179,0.0
13800,20945,58.93103448275862,5.535154111177281,19.28310344827586,1.8110200824166076
13800,22873,62.5,2.279567628176135,20.450793103448277,0.7458808014359527
13800,30556,59.93103448275862,10.728570116691621,19.618241379310344,3.469891781506947
13800,33952,24.29310344827586,26.767690159092957,8.141310344827586,8.627310336961704
13800,36997,63.5,0.0,20.778,0.0
13800,40252,56.0,0.0,18.324,0.0
13800,45898,63.5,0.0,20.778,0.0
13800,48787,63.5,0.0,20.778,0.0
13900,12169,63.224137931034484,1.4855627054164144,20.687724137931035,0.48615039534752025
13900,15599,52.5,0.0,17.179,0.0
13900,20945,58.93103448275862,5.535154111177281,19.28310344827586,1.8110200824166076
13900,22873,62.5,2.279567628176135,20.450793103448277,0.7458808014359527
13900,30556,58.275862068965516,14.480027011922656,19.08465517241379,4.679733320209162
13900,33952,24.29310344827586,26.767690159092957,8.141310344827586,8.627310336961704
13900,36997,63.5,0.0,20.778,0.0
13900,40252,56.0,0.0,18.324,0.0
13900,45898,63.5,0.0,20.778,0.0
13900,48787,63.5,0.0,20.778,0.0
14000,12169,63.214285714285715,1.5118578920369083,20.684499999999996,0.4947554951690769
14000,15599,52.5,0.0,17.179,0.0
14000,20945,58.767857142857146,5.565239575650949,19.229714285714287,1.820863630200889
14000,22873,62.660714285714285,2.1475807725445804,20.50339285714286,0.7026637328257173
14000,30556,56.089285714285715,17.491296021391225,18.378071428571428,5.651503490082324
14000,33952,24.928571428571427,27.03520143076645,8.345857142857144,8.7137183359399
14000,36997,63.5,0.0,20.778,0.0
14000,40252,56.0,0.0,18.324,0.0
14000,45898,63.5,0.0,20.778,0.0
14000,48787,63.5,0.0,20.778,0.0
14100,12169,62.72222222222222,2.886751345948129,20.523481481481483,0.944648667713613
14100,15599,52.5,0.0,17.179,0.0
14100,20945,57.81481481481482,5.5921444698862866,18.91785185185185,1.8297009991905082
14100,22873,62.425925925925924,2.348091302213943,20.426555555555552,0.7683017903308839
14100,30556,57.46296296296296,14.947295823046135,18.81988888888889,4.831076972885933
14100,33952,23.5,26.451334123689808,7.885407407407407,8.52552141991805
14100,36997,63.5,0.0,20.778,0.0
14100,40252,56.0,0.0,18.324,0.0
14100,45898,63.5,0.0,20.778,0.0
14100,48787,63.5,0.0,20.778,0.0
14200,12169,62.72222222222222,2.886751345948129,20.523481481481483,0.9446486677136132
14200,15599,52.5,0.0,17.179,0.0
14200,20945,57.7962962962963,5.611216889922811,18.91177777777778,1.835957020054439
14200,22873,60.27777777777778,11.194378167817208,19.736703703703704,3.596655313940084
14200,30556,52.870370370370374,19.94443849248774,17.338814814814814,6.43281127105427
14200,33952,23.5,26.451334123689808,7.885407407407407,8.525521419918048
14200,36997,63.5,0.0,20.778,0.0
14200,40252,56.0,0.0,18.324,0.0
14200,45898,63.5,0.0,20.778,0.0
14200,48787,63.5,0.0,20.778,0.0
14300,12169,63.18,1.5999999999999996,20.67328,0.5235999999999984
14300,15599,52.5,0.0,17.179,0.0
14300,20945,58.18,5.652949082853421,19.03736,1.8495794314744454
14300,22873,60.32,11.600000000000001,19.751559999999998,3.7263063601910127
14300,30556,52.54,20.454176427647564,17.22904,6.607410981113052
14300,33952,20.28,24.789984536770756,6.8486,7.9894313783898285
14300,36997,63.5,0.0,20.778,0.0
14300,40252,56.0,0.0,18.324,0.0
14300,45898,63.5,0.0,20.778,0.0
14300,48787,63.5,0.0,20.778,0.0
14400,12169,62.72222222222222,2.886751345948129,20.523481481481483,0.9446486677136132
14400,15599,52.5,0.0,17.179,0.0
14400,20945,57.407407407407405,5.562645049166804,18.784555555555556,1.820045124828023
14400,22873,60.27777777777778,11.194378167817208,19.736703703703704,3.596655313940084
14400,30556,50.48148148148148,21.503345661637738,16.56574074074074,6.936254606677942
14400,33952,19.27777777777778,24.089709474464453,6.525111111111111,7.76399765848919
14400,36997,63.5,0.0,20.778,0.0
14400,40252,56.0,0.0,18.324,0.0
14400,45898,63.5,0.0,20.778,0.0
14400,48787,63.5,0.0,20.778,0.0
14500,12169,62.75,2.836599424715499,20.532571428571426,0.9282371754935549
