Time_ms,UE_ID,SNR_total_linear,Mean_UL_SE_bit_per_s_Hz
39100,UE0,1098854376.0223737,28.53168541015741
39200,UE0,1158794045.6602035,28.60447818024461
39300,UE0,1116187090.8685024,28.55313513547733
39400,UE0,1172200427.3832607,28.620243517488138
39500,UE0,1097726468.2234483,28.530277890122633
39600,UE0,1170809937.561479,28.618616763819098
39700,UE0,1124158331.1894546,28.562888195360223
39800,UE0,1171460002.230599,28.619377523992515
39900,UE0,1114210951.7527905,28.550706494085304
40000,UE0,1190714953.1103773,28.641721893934044
40100,UE0,1135758526.8531995,28.576958542314852
40200,UE0,1194398067.1527898,28.645954761568497
40300,UE0,1132725477.4799068,28.5732935576902
40400,UE0,1193603738.9180655,28.645042974340114
40500,UE0,1137058656.1914392,28.57852655741738
40600,UE0,1208986259.756835,28.662593168319503
40700,UE0,1130486756.3413386,28.570582098956894
40800,UE0,1190570689.544773,28.641555830769942
40900,UE0,1133664069.2802355,28.574428752408345
41000,UE0,1183326198.8090565,28.633190646773176
41100,UE0,1119680888.912318,28.557418451659277
41200,UE0,1181209215.0195963,28.630736503206723
41300,UE0,1115203446.6351814,28.551926791363652
41400,UE0,1176731772.7424598,28.625531443382954
41500,UE0,1118236496.0084739,28.555649281946447
41600,UE0,1178320429.2119083,28.627380531735437
41700,UE0,1116647839.5390253,28.55370076962319
41800,UE0,1189107189.3162892,28.63987004332376
41900,UE0,1118425812.0070708,28.555881296398677
42000,UE0,1176921088.7410564,28.625751925336182
42100,UE0,1118281548.4414663,28.555704499095874
42200,UE0,1174682367.602488,28.623142383998445
42300,UE0,1123553318.9533272,28.562150373171743
42400,UE0,1197286852.9604778,28.649265613261175
42500,UE0,1140741770.2338514,28.582958845849856
42600,UE0,1215923116.0367029,28.67043462067898
42700,UE0,1161802651.5553846,28.608031988690893
42800,UE0,1224775370.5665073,28.680376530162842
42900,UE0,1164185636.2595577,28.61084027913797
43000,UE0,1231491533.9822125,28.68787158681675
43100,UE0,1155880816.374404,28.601028228338446
43200,UE0,1227664156.3741956,28.683605361614493
43300,UE0,1178629565.2979982,28.627740055396522
43400,UE0,1229614350.3815546,28.685780824439473
43500,UE0,1160646785.7827497,28.60666775330116
43600,UE0,1208887048.6242228,28.66248069357729
43700,UE0,1150391771.8902369,28.594504211506564
43800,UE0,1209681376.8589468,28.663380957354484
43900,UE0,1146058593.1787047,28.58933197717488
44000,UE0,1196076828.488223,28.64787977153309
44100,UE0,1141120402.2310452,28.583413683122682
44200,UE0,1193982370.9152591,28.64547767110872
44300,UE0,1149136694.9849896,28.59300811458072
44400,UE0,1203948857.6765628,28.656870616374622
44500,UE0,1141914730.4657695,28.584367391422834
44600,UE0,1188060535.7342782,28.638663143270346
44700,UE0,1147836565.6467502,28.591456589484075
44800,UE0,1190949321.5419664,28.641991634778275
44900,UE0,1143503386.935218,28.5862728194072
45000,UE0,1206837643.484251,28.66015523490122
45100,UE0,1145594425.6163254,28.588776771276525
45200,UE0,1200060739.2027707,28.652437268498257
45300,UE0,1155564331.2694857,28.60065291169328
45400,UE0,1223520293.6612601,28.678971341451213
45500,UE0,1169358195.6388063,28.616916287640333
45600,UE0,1219042851.3841233,28.67394661039234
45700,UE0,1170152523.8735309,28.617846973502676
45800,UE0,1227997735.9383967,28.683977718173622
45900,UE0,1163436360.4578257,28.609957895576308
46000,UE0,1224964686.565104,28.680588364058664
46100,UE0,1167913802.7349625,28.615222323217544
46200,UE0,1222725965.4265356,28.678081263628385
46300,UE0,1169502459.204411,28.617085363052173
46400,UE0,1210046333.2887142,28.663794387998834
46500,UE0,1154869214.1673737,28.599828218054242
46600,UE0,1202459412.3397264,28.655174000787405
46700,UE0,1135947842.8517964,28.57718697763867
46800,UE0,1190760005.5433698,28.64177375009596
46900,UE0,1137392235.7556405,28.57892858052402
47000,UE0,1181299319.885581,28.63084104814214
47100,UE0,1127425748.9943366,28.566866013705432
47200,UE0,1174871683.6010852,28.623363250583687
47300,UE0,1115377074.2009952,28.552140159179604
47400,UE0,1155760996.286911,28.600886146937402
47500,UE0,1100724721.8393183,28.534016240015806
47600,UE0,1135494443.2001019,28.576639826104945
47700,UE0,1084365394.550941,28.513493641810513
47800,UE0,1123289235.3002295,28.56182819432701
47900,UE0,1050350029.5278034,28.469811889922592
48000,UE0,1096495834.7963123,28.52874052767914
48100,UE0,1054827471.80494,28.475641910264436
48200,UE0,1100178948.8387246,28.53333650575396
48300,UE0,1060460779.8547118,28.48294191445754
48400,UE0,1116717335.450129,28.55378606542435
48500,UE0,1064793958.5662439,28.488530788848063
48600,UE0,1132461393.8268094,28.57297398796836
48700,UE0,1098303522.485866,28.53099817871378
48800,UE0,1163082171.9387436,28.60954058815701
48900,UE0,1099315124.6928968,28.53225996443034
49000,UE0,1163732236.6078634,28.610306401571105
49100,UE0,1104586895.2047577,28.538816783221844
49200,UE0,1165970957.7464316,28.612940473790747
49300,UE0,1097870731.7890527,28.53045799776191
49400,UE0,1157016073.1921582,28.60237367356143
49500,UE0,1117410790.9081836,28.55463688730099
49600,UE0,1162332896.1370115,28.608657367171645
49700,UE0,1104776211.2033544,28.53905166447732
49800,UE0,1154966668.052187,28.599943868196757
49900,UE0,1112936767.5229034,28.549138258193263
50000,UE0,1163921552.60646,28.610529346230035
50100,UE0,1104631947.6377501,28.538872682686694
50200,UE0,1168398994.883597,28.615791583550365
50300,UE0,1103837619.4030256,28.537886773895348
50400,UE0,1191048532.6745787,28.642105803511292
50500,UE0,1114787750.3976507,28.551415814672595
50600,UE0,1181443583.4511857,28.631008414565247
50700,UE0,1120059520.9095116,28.557881842846616
50800,UE0,1176966141.174049,28.62580438925607
50900,UE0,1115220541.0944643,28.551947799913737
51000,UE0,1171188569.558673,28.61905992207214
51100,UE0,1133853385.2788324,28.57465760973385
51200,UE0,1199570626.5320387,28.651877408361454
51300,UE0,1135297778.1826763,28.57640242766665
51400,UE0,1192223505.7718534,28.643457199047116
51500,UE0,1155852858.4006948,28.60099507738433
51600,UE0,1204454658.7800784,28.657446293092757
51700,UE0,1152169744.3582823,28.596620827218555
51800,UE0,1206693379.9186468,28.659991390382718
51900,UE0,1171930496.341576,28.6199278723473
52000,UE0,1232520230.6485257,28.68901597330153
52100,UE0,1185291570.0140834,28.635465104372727
52200,UE0,1256136318.2135458,28.715028597179597
52300,UE0,1196340912.1413207,28.648182346257304
52400,UE0,1241343121.178121,28.698792062707405
52500,UE0,1160691838.215742,28.606720952842917
52600,UE0,1214998199.8038003,28.669391679871975
52700,UE0,1147548038.515541,28.591112033866416
52800,UE0,1212759478.665232,28.666863995017184
52900,UE0,1149786759.6541095,28.593783218981734
53000,UE0,1216586856.273249,28.671182569129343
53100,UE0,1143070596.2384043,28.58575399451602
53200,UE0,1197521221.3920672,28.649533873644536
53300,UE0,1135342830.6156688,28.5764568150279
53400,UE0,1183077292.3536265,28.632902326285407
53500,UE0,1125376343.8543649,28.56437237781805
53600,UE0,1183221555.919231,28.63306944119937
53700,UE0,1120754638.0116239,28.55873215872147
53800,UE0,1180982834.7806625,28.6304738084217
53900,UE0,1126026408.5234847,28.565163842467104
54000,UE0,1160617070.5612411,28.606632663363037
54100,UE0,1113026872.3888884,28.549249216116287
54200,UE0,1170366283.350239,28.61809731992143
54300,UE0,1107755101.8770275,28.542742235274016
54400,UE0,1178744113.6420944,28.627873250581455
54500,UE0,1126026408.5234847,28.565163842467104
54600,UE0,1173920822.25983,28.62225356306437
54700,UE0,1109948770.5826035,28.545453648849065
54800,UE0,1160427754.5626445,28.606409083889467
54900,UE0,1123742634.951924,28.562381289789247
55000,UE0,1173427290.697241,28.621677240561006
55100,UE0,1128870141.8981805,28.568620772761772
55200,UE0,1172632962.4625168,28.620749152909355
55300,UE0,1126631420.7596123,28.56590004461332
55400,UE0,1192348662.0128183,28.643601069026058
55500,UE0,1135153514.617072,28.576228257963148
55600,UE0,1195093184.254902,28.646752169737926
55700,UE0,1135297778.1826766,28.57640242766665
55800,UE0,1179204862.3126173,28.628408871873432
55900,UE0,1133853385.2788324,28.57465760973385
56000,UE0,1196031776.0552306,28.64782814588749
56100,UE0,1134359186.3823478,28.575268867184825
56200,UE0,1167665407.514648,28.614930797565666
56300,UE0,1119697983.3716009,28.557439376199845
56400,UE0,1156744640.5202322,28.602052106304786
56500,UE0,1111393163.4864473,28.54723601994858
56600,UE0,1155950312.285508,28.601110629111375
56700,UE0,1121142376.275445,28.559206238189255
56800,UE0,1155479306.939415,28.600552064640112
56900,UE0,1121603124.945968,28.559769372828413
57000,UE0,1170854989.9944713,28.618669501574022
57100,UE0,1117730694.9049587,28.55502920941537
57200,UE0,1154127287.38447,28.598947441128587
57300,UE0,1114191844.428151,28.55068299048856
57400,UE0,1161637779.0348995,28.607837477373533
57500,UE0,1104442631.6391532,28.538637770753386
57600,UE0,1178320429.2119083,28.627380531735437
57700,UE0,1131886096.81219,28.572277558412335
57800,UE0,1192620094.6847444,28.64391303524489
57900,UE0,1144235568.277667,28.587150103682394
58000,UE0,1198253402.7345161,28.6503715974375
58100,UE0,1124158331.1894546,28.562888195360223
58200,UE0,1159254794.3307266,28.605023021084744
58300,UE0,1107475681.012446,28.542396480650606
58400,UE0,1158604729.6616068,28.60425424900512
58500,UE0,1105236959.8738775,28.539623139659277
58600,UE0,1160843450.8001752,28.606899967298233
58700,UE0,1107475681.012446,28.542396480650606
58800,UE0,1154921615.6191943,28.59989040493971
58900,UE0,1111953123.2895825,28.54792638355917
59000,UE0,1155571680.2883143,28.60066162798978
59100,UE0,1125792040.0918956,28.564878547650046
59200,UE0,1170204925.3253515,28.617908348186205
59300,UE0,1128030761.230464,28.567601302335913
59400,UE0,1175476695.8372126,28.62406885301264
59500,UE0,1122758990.7186031,28.561181073600583
59600,UE0,1172443646.4639199,28.62052786462472
59700,UE0,1123553318.9533272,28.562150373171743
59800,UE0,1167966204.186783,28.615283815544792
59900,UE0,1132508203.5076008,28.573030638167687
60000,UE0,1174682367.6024883,28.62314238399845
60100,UE0,1124997711.8571713,28.563911176283526
60200,UE0,1186093247.267636,28.636391775608125
60300,UE0,1141030297.3650603,28.583305457008493
60400,UE0,1192015082.448617,28.643217578119916
60500,UE0,1149552391.2225204,28.593503820384964
60600,UE0,1218664219.3869298,28.673520851293215
60700,UE0,1166235041.399529,28.61325086023966
60800,UE0,1201981569.209921,28.65462924811424
60900,UE0,1158058796.647197,28.603608290613128
61000,UE0,1223330977.6626632,28.67875925746142
61100,UE0,1148297314.317273,28.59200663044152
61200,UE0,1193648791.3510578,28.64509470500099
61300,UE0,1160505941.1090019,28.60650142549811
61400,UE0,1221444943.4129357,28.6766446062703
61500,UE0,1187674554.7182562,28.638217798788006
61600,UE0,1244075373.8792782,28.701805413227017
61700,UE0,1172292033.8794868,28.62035062145879
61800,UE0,1219882232.0518398,28.674889994723976
61900,UE0,1168391645.8647683,28.615782962946373
62000,UE0,1205438303.0133994,28.658565134319037
62100,UE0,1157342303.7375312,28.60276006024858
62200,UE0,1207677024.1519678,28.661108156721255
62300,UE0,1158136631.9722552,28.603700405470295
62400,UE0,1230425773.075562,28.68668495909215
62500,UE0,1189624748.7256155,28.640466450487423
62600,UE0,1255486253.5444262,28.71431913322599
62700,UE0,1196990976.8104405,28.648926875543825
62800,UE0,1257724974.6829944,28.71676087235637
62900,UE0,1194752255.6718721,28.646361129236137
63000,UE0,1254041860.640582,28.712741443969332
63100,UE0,1200674090.8528528,28.653137583603254
63200,UE0,1251803139.5020137,28.710292527053856
63300,UE0,1198435369.7142844,28.65057971517017
63400,UE0,1248606719.2384772,28.70678839028423
63500,UE0,1176538526.616891,28.62530634772257
63600,UE0,1225569698.8012316,28.681265119109497
63700,UE0,1162596979.7901092,28.608968725009024
63800,UE0,1219647863.6202507,28.674626652151083
63900,UE0,1167074422.067246,28.614236946206436
64000,UE0,1202965213.4432418,28.655750390426675
64100,UE0,1156313607.0712175,28.601541304352153
64200,UE0,1206648327.4856544,28.65994021895072
64300,UE0,1150391771.8902369,28.594504211506564
64400,UE0,1207746871.2843704,28.661187422067673
64500,UE0,1131425348.1416674,28.57171954078685
64600,UE0,1167604666.6488726,28.61485950044298
64700,UE0,1104631947.6377501,28.538872682686694
64800,UE0,1156555324.5216353,28.601827778293725
64900,UE0,1098348574.9188585,28.531054397971804
65000,UE0,1132647290.9335494,28.57319895129517
65100,UE0,1085303986.3512697,28.51467944158199
65200,UE0,1129066806.9156058,28.568859522797442
65300,UE0,1100903781.1623454,28.53423917644443
65400,UE0,1137588900.7730656,28.579165541841363
65500,UE0,1079382151.170289,28.50718066174982
65600,UE0,1125383692.8731935,28.564381327926633
