Time_ms,UE_ID,Mean_SNR_dB,Mean_UL_SE_bit_per_s_Hz
49100,2,907887981.7855259,28.270042111475252
49200,2,981765779.3582811,28.37726345919352
49300,2,930275193.1712093,28.30342820091918
49400,2,978603988.1550399,28.372842426702928
49500,2,919012633.4552537,28.286733981980383
49600,2,979458104.196599,28.37403811667236
49700,2,912296470.0395488,28.27668112076537
49800,2,977219383.0580306,28.370901878180284
49900,2,914535191.1781172,28.28004027408865
50000,2,987500550.2262706,28.38524599696397
50100,2,895691795.9585009,28.251505795031473
50200,2,965983402.1922531,28.355052003007614
50300,2,915861473.7920837,28.28202645624622
50400,2,977219383.0580306,28.370901878180284
50500,2,929792395.0587306,28.302716717165765
50600,2,989346614.8619418,28.387805773620354
50700,2,942832065.3872435,28.32180430632277
50800,2,1004168787.0667225,28.408186910316587
50900,2,941484595.186809,28.319844137420596
51000,2,1010884950.4824275,28.41732308447993
51100,2,933410405.5242726,28.308039495442387
51200,2,995240481.362627,28.395946432329172
51300,2,931471405.9249862,28.305189430854536
51400,2,999786877.6628776,28.40219308451525
51500,2,937102685.782964,28.31345030950041
51600,2,983638422.8441303,28.379875208540607
51700,2,925866704.9171865,28.296917803954663
51800,2,978704761.3046927,28.372983554848513
51900,2,932394475.9896592,28.30654695693923
52000,2,999717923.6397636,28.40209855546414
52100,2,931111896.5788695,28.304660349295407
52200,2,979352159.4203424,28.373889859635078
52300,2,917479845.7026031,28.284446165902324
52400,2,983760647.6743653,28.380045500883615
52500,2,906055472.4935932,28.26727293439845
52600,2,982966319.439641,28.37893840792042
52700,2,918043406.421159,28.285287772200405
52800,2,1002800129.27982,28.406317595564985
52900,2,939245874.0482405,28.316581252295446
53000,2,1001930065.928154,28.405127934876376
53100,2,945962037.4639456,28.32634669593445
53200,2,1013123671.6209958,28.420354992056858
53300,2,939245874.0482405,28.316581252295446
53400,2,1008646229.3438592,28.414284454945747
53500,2,937007152.9096723,28.31331058069724
53600,2,1012709827.5316308,28.419795026707064
53700,2,961675460.6068599,28.34892612295609
53800,2,1020317241.8854696,28.430052114597807
53900,2,943723316.3253772,28.323099273059096
54000,2,1006407508.2052907,28.41123907358195
54100,2,937007152.9096723,28.31331058069724
54200,2,1014969811.7503414,28.42285018970533
54300,2,931230006.8687469,28.3048341919961
54400,2,1005086616.8550341,28.409439056901405
54500,2,920471432.8517381,28.288907822978313
54600,2,996587951.5630616,28.397800798294096
54700,2,940163703.8365523,28.317919907980983
54800,2,1000174142.9020646,28.4027238652242
54900,2,941553549.2099228,28.31994451313105
55000,2,1005564023.7038028,28.410089905802742
55100,2,934757875.7247071,28.31001660797977
55200,2,989346614.8619419,28.387805773620357
55300,2,915903848.9650197,28.282089868003702
55400,2,997410248.4780815,28.398931198070883
55500,2,923532450.9053264,28.293458045104803
55600,2,1004126411.8937865,28.408129072475578
55700,2,925771172.0438948,28.29677637936618
55800,2,992932806.2009448,28.392764808903188
55900,2,929357363.3828976,28.30207530875117
56000,2,993824057.1390786,28.393994464374828
56100,2,929357363.3828976,28.30207530875117
56200,2,1001930065.928154,28.405127934876376
56300,2,950439479.7410823,28.332818548990026
56400,2,1004168787.0667224,28.408186910316587
56500,2,939680905.7240734,28.317215909436666
56600,2,992932806.2009448,28.392764808903188
56700,2,930248614.3210313,28.303389042144225
56800,2,1007566098.6881657,28.412815974366563
56900,2,928527434.2251484,28.30085083237668
57000,2,1007677002.3097644,28.412966824752385
57100,2,936037925.8755777,28.31189215866779
57200,2,1017426215.098762,28.426163176420758
57300,2,941165432.8218341,28.319379440041534
57400,2,1013627581.8262681,28.42103651558261
57500,2,962200633.8922746,28.34967438493506
57600,2,1037903308.5142331,28.45347365812294
57700,2,968502953.2186146,28.358622148149067
57800,2,1040142029.6528014,28.456426725044103
57900,2,970741674.357183,28.36178657991448
58000,2,1035664587.3756647,28.450514214657773
58100,2,972980395.4957513,28.364943722277093
58200,2,1025818451.8832576,28.437421868369476
58300,2,969582596.4999807,28.360149135808932
58400,2,1023059948.7229847,28.43373136417198
58500,2,930359943.517081,28.30355305662698
58600,2,1020053052.625419,28.42969719146331
58700,2,928554013.0753263,28.300890063737903
58800,2,999543024.8403933,28.401858757503263
58900,2,924076570.7981896,28.29426530370716
59000,2,997304303.7018249,28.398785609617658
59100,2,913296809.1947129,28.278183125919263
59200,2,991120094.6653624,28.39026040881033
59300,2,940834530.5176892,28.318897483005852
59400,2,1004168787.0667224,28.408186910316587
59500,2,948200758.6025139,28.329586442509722
59600,2,999691344.7895857,28.40206211678486
59700,2,952678200.8796506,28.33604305132494
59800,2,1015362392.7595642,28.423380207351087
59900,2,937007152.9096723,28.31331058069724
60000,2,1002821316.8662878,28.406346553038148
60100,2,928009893.1824632,28.300086698838303
60200,2,1007341209.8100348,28.41251003099593
60300,2,945595959.8112266,28.32581620043824
60400,2,1026667327.6484555,28.438555552695814
60500,2,944704708.8730929,28.32452379944335
60600,2,1019908789.0598146,28.429503342823356
60700,2,936184855.9946524,28.31210727899277
60800,2,991219258.3477912,28.390397529435013
60900,2,932513914.3097776,28.306722512392163
61000,2,979527058.2197127,28.37413460096187
61100,2,912434378.0857763,28.27688828698062
61200,2,992566804.0419002,28.392259517411407
61300,2,922667778.8173707,28.292174234938482
61400,2,966985982.3264364,28.356473749933457
61500,2,923559029.7555043,28.293497488648256
61600,2,995198106.1896911,28.395888075613648
61700,2,905649260.6469575,28.26665833332755
61800,2,984004500.4968493,28.38038519080698
61900,2,919081587.4783676,28.28683681201456
62000,2,991654290.0236241,28.390998916395613
62100,2,935879894.1790091,28.311660746833724
62200,2,990694085.0623765,28.389671179145015
62300,2,932487335.4595996,28.306683447628487
62400,2,995171527.3395132,28.39585147144131
62500,2,928009893.182463,28.300086698838303
62600,2,988455363.9238081,28.386570550642777
62700,2,931596084.521466,28.30537286976284
62800,2,1001887690.7552183,28.405069967799268
62900,2,922184980.7048917,28.291456883451794
63000,2,989760458.9513068,28.388378959669613
63100,2,907819027.7624121,28.269938013572585
63200,2,983500514.7979028,28.379683039814573
63300,2,957418229.7994946,28.342845334843105
63400,2,1000651549.7508334,28.40337791008449
63500,2,935293605.0565186,28.310801879802064
63600,2,1044577096.7570024,28.46225824060785
63700,2,948312087.7985637,28.32974735191289
63800,2,1019951164.2327505,28.42956028568271
63900,2,961744414.6299738,28.349024391303
64000,2,1018603694.0323159,28.42774842429789
64100,2,948269712.6256278,28.329686107278786
64200,2,1005091857.1313953,28.40944620264968
64300,2,943723316.3253772,28.323099273059096
64400,2,1001930065.928154,28.405127934876376
64500,2,948200758.602514,28.329586442509722
64600,2,1020317241.8854696,28.430052114597807
64700,2,950481854.9140182,28.332879653811307
64800,2,1031075815.9024785,28.444428110883624
64900,2,940163628.3428779,28.317919797927132
65000,2,1006476462.2284045,28.41133297432056
65100,2,950508433.764196,28.33291797901134
65200,2,992682597.8590839,28.392419398993432
65300,2,936064504.7257556,28.311931075252637
65400,2,980264597.9449441,28.37516618276533
65500,2,916426781.271415,28.282872161613547
65600,2,984720852.6356128,28.381382591317912
65700,2,917318032.2095487,28.284204422492017
65800,2,978704122.9430166,28.37298266089818
65900,2,939203498.8753047,28.316519416474854
66000,2,991585336.0005102,28.390903612081864
66100,2,931596084.521466,28.30537286976284
66200,2,981739200.5081033,28.377226354203298
66300,2,939203498.8753047,28.316519416474854
66400,2,987542925.3992065,28.38530480855969
66500,2,921251354.5938221,28.29006861638124
66600,2,977219383.0580306,28.370901878180284
66700,2,923579791.7675214,28.293528299098263
66800,2,992757907.4015746,28.392523372160074
66900,2,910989134.0330307,28.27471567649728
67000,2,983857570.3777747,28.38018052546017
67100,2,918043406.4211591,28.28528777220041
67200,2,977044484.2586602,28.370656558852236
67300,2,932487335.4595997,28.306683447628487
67400,2,1004603818.7425554,28.40878054360917
67500,2,932508523.0460677,28.306714588571204
67600,2,986216642.7852399,28.383462891658027
67700,2,936964777.7367364,28.313248597133608
67800,2,990694085.0623766,28.389671179145015
67900,2,934726056.5981681,28.309969953359783
68000,2,985325391.8471061,28.382223746660138
68100,2,935617307.5363019,28.311276144787275
68200,2,990694085.0623765,28.389671179145015
68300,2,932487335.4595997,28.306683447628487
68400,2,999648969.6166499,28.402004019892807
68500,2,925771172.0438948,28.29677637936618
68600,2,986216642.7852399,28.383462891658027
68700,2,934726056.5981681,28.309969953359783
68800,2,995171527.3395133,28.39585147144131
68900,2,927359828.5133433,28.299126294186056
69000,2,968089599.704387,28.358037073173932
69100,2,923965241.60214,28.294100173920494
69200,2,982966319.439641,28.37893840792042
69300,2,911327243.0054542,28.275224258587144
69400,2,981521926.535797,28.376922994578788
69500,2,911182979.4398496,28.275007281023008
69600,2,986195455.198772,28.383433446630153
69700,2,916773912.3166854,28.283391214472847
69800,2,979458104.196599,28.37403811667236
69900,2,905994150.7132087,28.267180171820755
70000,2,974938286.7465265,28.36769887722637
70100,2,896583046.8966346,28.252868882001522
70200,2,972699565.607958,28.364548082395817
70300,2,896583046.8966346,28.252868882001522
70400,2,988412988.7508724,28.38651179333693
70500,2,912296470.0395488,28.27668112076537
70600,2,970503219.6423256,28.36144987168649
70700,2,936964777.7367363,28.313248597133608
70800,2,974524442.6571615,28.367116975070417
70900,2,896583046.8966345,28.252868882001522
71000,2,974938286.7465264,28.36769887722637
71100,2,903299210.3123395,28.263097272826872
71200,2,963744681.0536847,28.35187196568494
71300,2,898821768.0352029,28.25628683415536
71400,2,969113374.2689551,28.359485702884868
71500,2,906885401.6513424,28.268527766302334
71600,2,963744681.0536846,28.35187196568494
71700,2,907776652.5894762,28.269874037071833
71800,2,961505959.9151163,28.348684532729692
71900,2,903299210.3123394,28.263097272826872
72000,2,972741940.7808938,28.364607788872746
72100,2,925728796.8709588,28.296713643497768
72200,2,981696825.3351672,28.377167194924926
72300,2,912296470.0395488,28.27668112076537
72400,2,981959411.9778745,28.3775337466867
72500,2,932556289.4827135,28.30678479179493
72600,2,986285596.8083537,28.38355871476421
72700,2,941511174.036987,28.319882828868696
72800,2,999717923.6397636,28.40209855546414
72900,2,932577477.0691814,28.306815930435086
73000,2,1006476462.2284045,28.41133297432056
73100,2,948269712.6256278,28.329686107278786
73200,2,1008715183.3669729,28.41437814727592
73300,2,945107921.4223866,28.325108648022486
73400,2,999691344.7895857,28.40206211678486
73500,2,954916922.0182189,28.339259985210887
73600,2,994736495.6636803,28.39525221042895
73700,2,936964777.7367363,28.313248597133608
73800,2,986216642.7852398,28.383462891658027
73900,2,930248614.3210313,28.303389042144225
74000,2,993855876.2656177,28.394038344710374
74100,2,934795010.6212819,28.31007105481024
74200,2,999717923.6397637,28.40209855546414
74300,2,919558994.3271364,28.287548549685326
74400,2,962922384.1386647,28.350702061880607
74500,2,914561770.028295,28.280080105674738
74600,2,975028428.3561082,28.367825591707668
74700,2,919081587.4783677,28.28683681201456
74800,2,977288337.0811443,28.37099858349877
74900,2,918620052.4460311,28.28614838513818
75000,2,981765779.358281,28.37726345919352
75100,2,920864089.3546351,28.28949235459801
75200,2,972768519.6310718,28.36464523705643
