Time_s,Stream_ID,Mean_Kbps,Std_Kbps,Mean_Latency_ms,Std_Latency_ms
39,4,620.5,33.48133808556643,23.04625,0.5664523369181212
39,5,629.25,44.507490006364854,22.170749999999998,0.462425038970281
39,6,629.25,44.507490006364854,23.15775,0.9164589006969522
39,7,650.0,46.27454303754206,23.4955,0.967012754138571
39,8,611.75,9.394147114027955,22.764,0.9183379915187365
39,9,676.25,35.49999999999999,22.2815,0.3087032015814983
39,10,623.5,48.01041553663122,22.70825,1.0446755078332528
39,11,600.0,,21.986,
39,67,598.0,,28.73,
40,1,679.25,37.924266637602884,21.57575,0.8371839204539623
40,2,647.0,54.270925303824804,21.4685,0.5794609564068999
40,3,647.0,54.270925303824825,22.85575,1.1032154141417705
40,4,658.75,48.09279225275516,22.3515,0.7608926774957606
40,5,655.75,44.39500722678922,21.76325,0.2869324833475632
