Time (ms),Throughput (Mbps),UE,Scenario,Num_UEs,Repetition
610,1.2579,14,cb,10,1
610,1.3777,16,cb,10,1
610,1.0183,17,cb,10,1
610,0.7787,19,cb,10,1
610,1.2579,21,cb,10,1
620,1.31824,6,cb,10,1
620,1.498,3,cb,10,1
620,0.83888,8,cb,10,1
620,1.73768,10,cb,10,1
620,1.31824,13,cb,10,1
620,1.13848,14,cb,10,1
620,0.71904,16,cb,10,1
620,0.95872,17,cb,10,1
620,0.8988,19,cb,10,1
620,1.25832,21,cb,10,1
630,1.31619,6,cb,10,1
630,0.83757,3,cb,10,1
630,1.31619,8,cb,10,1
630,0.23931,10,cb,10,1
630,0.8974,13,cb,10,1
630,1.43584,14,cb,10,1
630,1.13671,16,cb,10,1
630,0.77775,17,cb,10,1
630,1.49567,19,cb,10,1
630,0.8974,21,cb,10,1
640,1.02795,6,cb,10,1
640,1.25639,3,cb,10,1
640,1.48482,8,cb,10,1
640,1.59904,10,cb,10,1
640,1.19928,13,cb,10,1
640,0.97085,14,cb,10,1
640,0.97085,16,cb,10,1
640,0.91374,17,cb,10,1
640,1.08506,19,cb,10,1
640,1.25639,21,cb,10,1
650,1.316,6,cb,10,1
650,1.25618,3,cb,10,1
650,1.01691,8,cb,10,1
650,0.89727,10,cb,10,1
650,1.37581,13,cb,10,1
650,0.41873,14,cb,10,1
650,1.13654,16,cb,10,1
650,1.97399,17,cb,10,1
650,1.19636,19,cb,10,1
650,0.83745,21,cb,10,1
660,0.97061,6,cb,10,1
660,0.85642,3,cb,10,1
660,1.25608,8,cb,10,1
660,0.85642,10,cb,10,1
660,0.85642,13,cb,10,1
660,1.76993,14,cb,10,1
660,0.97061,16,cb,10,1
660,0.0,17,cb,10,1
660,0.85642,19,cb,10,1
660,1.0848,21,cb,10,1
670,0.95818,6,cb,10,1
670,1.13784,3,cb,10,1
670,1.37738,8,cb,10,1
670,1.49715,10,cb,10,1
670,1.01806,13,cb,10,1
670,0.83841,14,cb,10,1
670,1.13784,16,cb,10,1
670,1.67681,17,cb,10,1
670,1.13784,19,cb,10,1
670,1.01806,21,cb,10,1
680,1.36475,6,cb,10,1
680,1.08043,3,cb,10,1
680,1.30789,8,cb,10,1
680,0.9667,10,cb,10,1
680,1.30789,13,cb,10,1
680,1.13729,14,cb,10,1
680,1.13729,16,cb,10,1
680,1.47848,17,cb,10,1
680,1.19416,19,cb,10,1
680,1.25102,21,cb,10,1
690,0.86117,6,cb,10,1
690,1.37787,3,cb,10,1
690,1.37787,8,cb,10,1
690,0.86117,10,cb,10,1
690,0.91858,13,cb,10,1
690,0.80376,14,cb,10,1
690,1.20563,16,cb,10,1
690,0.80376,17,cb,10,1
690,1.09081,19,cb,10,1
690,1.14822,21,cb,10,1
700,1.42666,6,cb,10,1
700,0.91306,3,cb,10,1
700,0.91306,8,cb,10,1
700,1.31253,10,cb,10,1
700,0.91306,13,cb,10,1
700,1.08426,14,cb,10,1
700,1.31253,16,cb,10,1
700,1.19839,17,cb,10,1
700,1.14133,19,cb,10,1
700,1.08426,21,cb,10,1
710,0.47897,6,cb,10,1
710,0.95794,3,cb,10,1
710,1.43691,8,cb,10,1
710,0.65858,10,cb,10,1
710,1.43691,13,cb,10,1
710,0.95794,14,cb,10,1
710,0.53884,16,cb,10,1
710,0.89807,17,cb,10,1
710,0.8382,19,cb,10,1
710,1.91588,21,cb,10,1
720,1.37121,6,cb,10,1
720,1.37121,3,cb,10,1
720,1.37121,8,cb,10,1
720,1.37121,10,cb,10,1
720,1.37121,13,cb,10,1
720,1.25695,14,cb,10,1
720,1.14268,16,cb,10,1
720,0.97128,17,cb,10,1
720,1.42835,19,cb,10,1
720,0.91414,21,cb,10,1
730,0.8543,6,cb,10,1
730,1.13907,3,cb,10,1
730,1.82251,8,cb,10,1
730,0.8543,10,cb,10,1
730,1.48079,13,cb,10,1
730,1.08212,14,cb,10,1
730,1.30993,16,cb,10,1
730,1.02516,17,cb,10,1
730,0.91126,19,cb,10,1
730,0.91126,21,cb,10,1
740,1.42413,6,cb,10,1
740,1.59503,3,cb,10,1
740,1.42413,8,cb,10,1
740,1.1393,10,cb,10,1
740,1.42413,13,cb,10,1
740,1.1393,14,cb,10,1
740,0.96841,16,cb,10,1
740,1.1393,17,cb,10,1
740,0.22786,19,cb,10,1
740,1.36717,21,cb,10,1
750,1.89045,6,cb,10,1
750,1.43216,3,cb,10,1
750,1.03115,8,cb,10,1
750,1.03115,10,cb,10,1
750,0.97387,13,cb,10,1
750,1.31758,14,cb,10,1
750,1.14573,16,cb,10,1
750,1.20301,17,cb,10,1
750,1.31758,19,cb,10,1
750,0.91658,21,cb,10,1
760,1.55608,6,cb,10,1
760,1.61593,3,cb,10,1
760,2.09472,8,cb,10,1
760,0.89774,10,cb,10,1
760,1.07728,13,cb,10,1
760,0.89774,14,cb,10,1
760,0.89774,16,cb,10,1
760,1.19698,17,cb,10,1
760,1.67577,19,cb,10,1
760,0.95759,21,cb,10,1
770,1.55631,6,cb,10,1
770,1.07744,3,cb,10,1
770,1.31688,8,cb,10,1
770,1.19716,10,cb,10,1
770,1.01759,13,cb,10,1
770,1.19716,14,cb,10,1
770,1.19716,16,cb,10,1
770,1.19716,17,cb,10,1
770,1.25702,19,cb,10,1
770,1.49645,21,cb,10,1
780,1.4826,6,cb,10,1
780,1.42558,3,cb,10,1
780,1.4826,8,cb,10,1
780,1.42558,10,cb,10,1
780,1.53963,13,cb,10,1
780,1.08344,14,cb,10,1
780,1.19749,16,cb,10,1
780,0.7413,17,cb,10,1
780,0.85535,19,cb,10,1
780,1.02642,21,cb,10,1
790,1.48169,6,cb,10,1
790,1.53868,3,cb,10,1
790,1.70965,8,cb,10,1
790,0.9688,10,cb,10,1
790,1.99459,13,cb,10,1
790,0.68386,14,cb,10,1
790,0.68386,16,cb,10,1
790,0.79784,17,cb,10,1
790,0.28494,19,cb,10,1
790,0.9688,21,cb,10,1
800,1.03121,6,cb,10,1
800,0.97392,3,cb,10,1
800,1.54681,8,cb,10,1
800,1.20307,10,cb,10,1
800,1.48952,13,cb,10,1
800,1.43223,14,cb,10,1
800,1.20307,16,cb,10,1
800,1.26036,17,cb,10,1
800,1.6041,19,cb,10,1
800,1.03121,21,cb,10,1
810,0.0598,6,cb,10,1
810,0.47838,3,cb,10,1
810,2.2723,8,cb,10,1
810,0.89696,10,cb,10,1
810,0.53818,13,cb,10,1
810,1.01656,14,cb,10,1
810,1.25575,16,cb,10,1
810,1.01656,17,cb,10,1
810,1.61453,19,cb,10,1
810,2.57129,21,cb,10,1
820,0.45707,6,cb,10,1
820,0.79987,3,cb,10,1
820,1.71401,8,cb,10,1
820,0.857,10,cb,10,1
820,0.05713,13,cb,10,1
820,0.28567,14,cb,10,1
820,0.97127,16,cb,10,1
820,0.97127,17,cb,10,1
820,0.79987,19,cb,10,1
820,1.99968,21,cb,10,1
830,1.01698,6,cb,10,1
830,1.25627,3,cb,10,1
830,2.21342,8,cb,10,1
830,1.67502,10,cb,10,1
