Time_ms,Mean_Latency_us,Std_Latency_us
48500,71871473.44444445,6809.262315243172
48600,71860467.0,10602.359077111094
48700,71870821.33333333,9071.904779777666
48800,71869212.25,5567.535204199431
49100,71863618.0,0.0
49200,71861903.0,
49300,71856022.0,2152.4330419318508
49400,71866434.0,11161.897240163295
49500,71872927.57142857,5937.5114275580245
49600,71870100.5,8243.78863145039
49700,71856038.5,5736.75731576646
49800,71873431.0,0.0
49900,71869340.5,5441.704726770428
50200,71863904.66666667,1195.6924074906397
50300,71857104.0,
50400,71862556.0,9950.406624857096
50500,71869296.16666667,11298.35595857273
50600,71872719.0,5392.725625011249
50700,71863913.0,6750.041333206783
50800,71856694.5,7047.73328808632
50900,71872700.25,9308.050113566573
51000,71873950.0,0.0
51200,71863339.66666667,1128.1424259954533
51400,71856079.0,2067.580228189465
51500,71859658.0,8813.852109038364
51600,71873655.22222222,5626.294357252593
51700,71876344.0,0.0
51800,71859762.0,6633.129125833354
52000,71871148.33333333,4801.574644498228
52300,71863557.66666667,1420.8590124745936
52400,71857934.0,
52500,71859356.66666667,8785.693844728235
52600,71873082.4,9019.448780275534
52700,71873175.85714285,6118.189368011997
52800,71864234.5,5948.889350122425
52900,71856419.0,5235.418607905198
53000,71869280.0,5379.749808308933
53100,71872407.0,4364.768035073571
53300,71863317.33333333,1442.2209724367606
53400,71857186.0,
53500,71853175.0,
53600,71863234.0,10953.08404057962
53700,71873076.0,7422.578335246972
53800,71870614.4,5860.83597279332
53900,71859101.0,
54000,71856059.5,5920.605078874963
54100,71871129.33333333,4992.078711985933
54400,71861961.0,3179.54147637513
54600,71854253.5,784.1814203358812
54700,71873781.6,4122.941947199958
54800,71871447.0,8082.00807791016
54900,71868073.0,
55000,71857390.0,3980.6583626329952
55100,71869548.5,5675.319462375964
55200,71873402.0,0.0
55400,71863041.66666667,1372.3615898626651
55500,71857888.0,
55600,71853415.0,
55700,71866641.75,7825.802466840062
55800,71873736.83333333,8822.155324334184
55900,71870720.2,5705.147956011871
56000,71859835.0,1214.8094500784887
56100,71866655.0,12792.927264703727
56200,71870119.25,5167.267580644467
56500,71862099.5,3011.8049405647675
56600,71853349.0,
56800,71871112.5,8249.539059850556
56900,71872662.0,9027.425214312218
57000,71866484.0,1496.49189773951
57100,71856948.33333333,4549.048948224798
57200,71869500.5,5313.042348788665
57300,71875403.0,0.0
57500,71862208.0,3988.9130098311243
57600,71857339.0,5897.270555095806
57800,71865727.33333333,8754.93948199256
57900,71871969.33333333,8342.411513863644
58000,71871447.5,6506.160183497893
58100,71868581.0,
58200,71864114.8,9852.61296306769
58300,71870262.75,5484.359906434868
58600,72312450.25,901102.1331293418
58700,71857561.0,5420.680584576074
58800,71867127.66666667,10725.435950734602
58900,72145733.5,541268.9793343663
