Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
1241fcc4c0e0,rfsim5g-oai-du1,166.27%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.42%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,17.55%,8.578MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,21.22%,7.234MiB,23.44GiB,0.03%,61.1MB,61.3MB,0B,0B,16
1241fcc4c0e0,rfsim5g-oai-du1,166.27%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.42%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,17.55%,8.578MiB,23.44GiB,0.04%,9.67GB,7.79GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,21.22%,7.234MiB,23.44GiB,0.03%,61.1MB,61.3MB,0B,0B,16
1241fcc4c0e0,rfsim5g-oai-du1,168.79%,1.084GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.42%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.60%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.43%,6.375MiB,23.44GiB,0.03%,61.6MB,61.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,168.79%,1.084GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.10%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.60%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,28.43%,6.375MiB,23.44GiB,0.03%,61.6MB,61.8MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,168.79%,1.084GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.10%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.60%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.66%,6.375MiB,23.44GiB,0.03%,62MB,62.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,172.05%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.94%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.53%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.66%,6.375MiB,23.44GiB,0.03%,62MB,62.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,172.05%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.94%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.53%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.83%,6.375MiB,23.44GiB,0.03%,62.5MB,62.7MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,175.56%,1.083GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.40%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.05%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,17.83%,6.375MiB,23.44GiB,0.03%,62.5MB,62.7MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,175.56%,1.083GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.40%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.05%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.57%,6.375MiB,23.44GiB,0.03%,62.9MB,63.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,169.96%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,28.88%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.51%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.57%,6.375MiB,23.44GiB,0.03%,62.9MB,63.1MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,169.96%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,28.88%,60.92MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.51%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.25%,6.395MiB,23.44GiB,0.03%,63.3MB,63.5MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,171.71%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.70%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.36%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,18.25%,6.395MiB,23.44GiB,0.03%,63.3MB,63.5MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,171.71%,1.084GiB,23.44GiB,4.62%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.70%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.36%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,16.38%,6.375MiB,23.44GiB,0.03%,63.8MB,64MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,161.12%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,12.30%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,28.40%,8.648MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
