[UE 16 | RBs:  1 ] Total Throughput = 1.09182 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.31018 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98474 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.20358 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.19385 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.07447 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.07447 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.09056 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.21811 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.98499 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.09443 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.54721 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.59831 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.79494 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.07729 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.35910 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.55608 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.52047 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.65163 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.76340 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.41775 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.98152 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 1.20264 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.20264 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.31507 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19552 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.59776 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.71867 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.95822 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.87046 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 1.19688 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.95853 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.98196 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 1.20017 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.20086 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.76418 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 0.32751 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 0.47676 Mbps
[UE 3 | RBs:  1 ] Total Throughput = 0.83432 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 1.07591 Mbps
[UE 16 | RBs:  1 ] Total Throughput = 0.83682 Mbps
[UE 20 | RBs:  1 ] Total Throughput = 1.07591 Mbps
[UE 1 | RBs:  1 ] Total Throughput = 2.07811 Mbps
