Time_ms,UE_ID,UL_SNR_dB,UL_SE_bit_per_s_Hz
860,50583,63.50,20.778
860,44140,11.00,3.708
860,30253,63.50,20.778
860,47289,63.50,20.778
870,59197,63.50,20.778
870,49903,55.50,18.160
870,50583,63.50,20.778
870,44140,11.00,3.708
870,30253,63.50,20.778
870,47289,63.50,20.778
880,59197,63.50,20.778
880,49903,55.50,18.160
880,50583,63.50,20.778
880,44140,11.00,3.708
880,30253,63.50,20.778
880,47289,63.50,20.778
890,59197,63.50,20.778
890,49903,55.50,18.160
890,50583,63.50,20.778
890,44140,11.00,3.708
890,30253,63.50,20.778
890,47289,63.50,20.778
900,59197,63.50,20.778
900,49903,55.50,18.160
900,50583,63.50,20.778
900,44140,11.00,3.708
900,30253,63.50,20.778
900,47289,63.50,20.778
910,59197,63.50,20.778
910,49903,55.50,18.160
910,50583,63.50,20.778
910,44140,11.00,3.708
910,30253,63.50,20.778
910,47289,63.50,20.778
920,59197,63.50,20.778
920,49903,55.50,18.160
920,50583,63.50,20.778
920,44140,11.00,3.708
920,30253,63.50,20.778
920,47289,63.50,20.778
930,59197,63.50,20.778
930,49903,55.50,18.160
930,50583,63.50,20.778
930,44140,11.00,3.708
930,30253,63.50,20.778
930,47289,63.50,20.778
940,59197,63.50,20.778
940,49903,55.50,18.160
940,50583,63.50,20.778
940,44140,11.00,3.708
940,30253,63.50,20.778
940,47289,63.50,20.778
950,59197,63.50,20.778
950,49903,55.50,18.160
950,50583,63.50,20.778
950,44140,11.00,3.708
950,30253,63.50,20.778
950,47289,63.50,20.778
960,59197,63.50,20.778
960,49903,55.50,18.160
960,50583,63.50,20.778
960,44140,11.00,3.708
960,30253,63.50,20.778
960,47289,63.50,20.778
970,59197,63.50,20.778
970,49903,55.50,18.160
970,50583,63.50,20.778
970,44140,11.00,3.708
970,30253,63.50,20.778
970,47289,63.50,20.778
980,59197,63.50,20.778
980,49903,55.50,18.160
980,50583,63.50,20.778
980,44140,11.00,3.708
980,30253,63.50,20.778
980,47289,63.50,20.778
990,59197,63.50,20.778
990,49903,55.50,18.160
990,50583,63.50,20.778
990,44140,11.00,3.708
990,30253,63.50,20.778
990,47289,63.50,20.778
1000,59197,63.50,20.778
1000,49903,55.50,18.160
1000,50583,63.50,20.778
1000,44140,11.00,3.708
1000,30253,63.50,20.778
1000,47289,63.50,20.778
1010,59197,63.50,20.778
1010,49903,55.50,18.160
1010,50583,63.50,20.778
1010,44140,11.00,3.708
1010,30253,63.50,20.778
