[UE 10 | RB 1] Throughput = 0.89817 Mbps
[UE 3 | RB 1] Throughput = 1.04725 Mbps
[UE 8 | RB 1] Throughput = 1.02520 Mbps
[UE 6 | RB 1] Throughput = 1.37642 Mbps
[UE 7 | RB 1] Throughput = 0.89766 Mbps
[UE 10 | RB 1] Throughput = 1.43626 Mbps
[UE 3 | RB 1] Throughput = 6.40955 Mbps
[UE 8 | RB 1] Throughput = 6.70906 Mbps
[UE 6 | RB 1] Throughput = 0.83825 Mbps
[UE 7 | RB 1] Throughput = 0.95800 Mbps
[UE 10 | RB 1] Throughput = 1.01788 Mbps
[UE 3 | RB 1] Throughput = 1.09464 Mbps
[UE 8 | RB 1] Throughput = 0.78188 Mbps
[UE 6 | RB 1] Throughput = 1.14355 Mbps
[UE 7 | RB 1] Throughput = 1.20073 Mbps
[UE 10 | RB 1] Throughput = 0.80048 Mbps
[UE 3 | RB 1] Throughput = 1.37260 Mbps
[UE 8 | RB 1] Throughput = 1.42979 Mbps
[UE 6 | RB 1] Throughput = 0.65744 Mbps
[UE 7 | RB 1] Throughput = 0.77697 Mbps
[UE 10 | RB 1] Throughput = 1.37465 Mbps
[UE 6 | RB 1] Throughput = 1.60279 Mbps
[UE 7 | RB 1] Throughput = 1.37382 Mbps
[UE 10 | RB 1] Throughput = 1.08761 Mbps
[UE 6 | RB 1] Throughput = 0.83768 Mbps
[UE 7 | RB 1] Throughput = 0.89751 Mbps
[UE 10 | RB 1] Throughput = 0.95735 Mbps
[UE 6 | RB 1] Throughput = 1.19692 Mbps
[UE 7 | RB 1] Throughput = 1.19692 Mbps
[UE 10 | RB 1] Throughput = 1.19692 Mbps
[UE 6 | RB 1] Throughput = 0.97161 Mbps
[UE 7 | RB 1] Throughput = 1.20022 Mbps
[UE 10 | RB 1] Throughput = 0.80015 Mbps
[UE 6 | RB 1] Throughput = 0.89770 Mbps
[UE 7 | RB 1] Throughput = 0.83785 Mbps
[UE 10 | RB 1] Throughput = 1.07724 Mbps
[UE 6 | RB 1] Throughput = 1.36839 Mbps
[UE 7 | RB 1] Throughput = 1.19735 Mbps
[UE 10 | RB 1] Throughput = 1.14033 Mbps
[UE 6 | RB 1] Throughput = 0.68604 Mbps
[UE 7 | RB 1] Throughput = 0.80038 Mbps
[UE 10 | RB 1] Throughput = 1.20057 Mbps
[UE 6 | RB 1] Throughput = 1.36992 Mbps
[UE 7 | RB 1] Throughput = 1.19868 Mbps
[UE 10 | RB 1] Throughput = 1.14160 Mbps
[UE 6 | RB 1] Throughput = 0.95846 Mbps
[UE 7 | RB 1] Throughput = 1.07827 Mbps
[UE 10 | RB 1] Throughput = 0.35942 Mbps
[UE 6 | RB 1] Throughput = 1.07767 Mbps
[UE 7 | RB 1] Throughput = 1.13754 Mbps
[UE 10 | RB 1] Throughput = 1.67638 Mbps
[UE 6 | RB 1] Throughput = 1.01842 Mbps
[UE 7 | RB 1] Throughput = 1.01842 Mbps
[UE 10 | RB 1] Throughput = 0.77879 Mbps
[UE 6 | RB 1] Throughput = 1.14193 Mbps
[UE 7 | RB 1] Throughput = 1.14193 Mbps
[UE 10 | RB 1] Throughput = 0.79935 Mbps
[UE 6 | RB 1] Throughput = 1.08520 Mbps
[UE 7 | RB 1] Throughput = 0.97097 Mbps
[UE 10 | RB 1] Throughput = 1.65635 Mbps
[UE 6 | RB 1] Throughput = 1.07697 Mbps
[UE 7 | RB 1] Throughput = 0.95731 Mbps
[UE 10 | RB 1] Throughput = 0.95731 Mbps
[UE 6 | RB 1] Throughput = 0.95843 Mbps
[UE 7 | RB 1] Throughput = 1.13814 Mbps
[UE 10 | RB 1] Throughput = 1.07824 Mbps
[UE 3 | RB 1] Throughput = 0.01910 Mbps
[UE 8 | RB 1] Throughput = 0.02292 Mbps
[UE 3 | RB 1] Throughput = 17.21001 Mbps
[UE 8 | RB 1] Throughput = 16.14912 Mbps
[UE 6 | RB 1] Throughput = 1.25735 Mbps
[UE 7 | RB 1] Throughput = 1.14305 Mbps
[UE 10 | RB 1] Throughput = 0.85729 Mbps
[UE 3 | RB 1] Throughput = 1.07647 Mbps
[UE 8 | RB 1] Throughput = 1.85391 Mbps
[UE 6 | RB 1] Throughput = 1.01804 Mbps
[UE 7 | RB 1] Throughput = 1.07793 Mbps
[UE 10 | RB 1] Throughput = 0.77850 Mbps
[UE 3 | RB 1] Throughput = 0.91374 Mbps
[UE 8 | RB 1] Throughput = 0.79952 Mbps
[UE 6 | RB 1] Throughput = 0.34268 Mbps
[UE 7 | RB 1] Throughput = 0.85671 Mbps
[UE 10 | RB 1] Throughput = 1.19939 Mbps
[UE 6 | RB 1] Throughput = 1.61541 Mbps
[UE 7 | RB 1] Throughput = 1.07694 Mbps
[UE 10 | RB 1] Throughput = 1.19660 Mbps
[UE 6 | RB 1] Throughput = 1.25809 Mbps
[UE 7 | RB 1] Throughput = 0.95854 Mbps
[UE 10 | RB 1] Throughput = 0.77882 Mbps
[UE 6 | RB 1] Throughput = 0.97108 Mbps
[UE 7 | RB 1] Throughput = 1.48518 Mbps
[UE 10 | RB 1] Throughput = 1.19957 Mbps
[UE 6 | RB 1] Throughput = 1.07532 Mbps
[UE 7 | RB 1] Throughput = 1.07532 Mbps
[UE 10 | RB 1] Throughput = 1.13506 Mbps
[UE 6 | RB 1] Throughput = 1.14201 Mbps
[UE 7 | RB 1] Throughput = 0.91361 Mbps
[UE 10 | RB 1] Throughput = 1.19911 Mbps
[UE 6 | RB 1] Throughput = 0.97211 Mbps
[UE 7 | RB 1] Throughput = 0.97211 Mbps
[UE 10 | RB 1] Throughput = 1.08648 Mbps
[UE 6 | RB 1] Throughput = 1.14268 Mbps
[UE 7 | RB 1] Throughput = 1.19981 Mbps
[UE 10 | RB 1] Throughput = 0.62847 Mbps
[UE 6 | RB 1] Throughput = 0.95667 Mbps
[UE 7 | RB 1] Throughput = 0.71750 Mbps
[UE 10 | RB 1] Throughput = 1.25563 Mbps
[UE 6 | RB 1] Throughput = 1.01730 Mbps
[UE 7 | RB 1] Throughput = 1.25666 Mbps
[UE 10 | RB 1] Throughput = 1.19682 Mbps
[UE 6 | RB 1] Throughput = 0.85744 Mbps
[UE 7 | RB 1] Throughput = 0.97176 Mbps
[UE 10 | RB 1] Throughput = 1.08609 Mbps
[UE 6 | RB 1] Throughput = 1.37801 Mbps
[UE 7 | RB 1] Throughput = 1.13835 Mbps
[UE 10 | RB 1] Throughput = 1.01853 Mbps
[UE 6 | RB 1] Throughput = 1.01784 Mbps
[UE 7 | RB 1] Throughput = 1.01784 Mbps
[UE 10 | RB 1] Throughput = 1.19746 Mbps
[UE 6 | RB 1] Throughput = 1.14218 Mbps
[UE 7 | RB 1] Throughput = 1.19929 Mbps
[UE 10 | RB 1] Throughput = 0.97085 Mbps
[UE 6 | RB 1] Throughput = 1.19588 Mbps
[UE 7 | RB 1] Throughput = 0.89691 Mbps
