Time_ms,UE_ID,RB_ID,Throughput_Mbps,SE_bit_per_s_Hz
7543,18,1,1.17203,0.03071
7543,20,1,1.64084,0.04300
7651,1,1,0.77754,0.02038
7651,5,1,0.88862,0.02329
7651,6,1,0.11108,0.00291
7651,18,1,1.11077,0.02911
7651,20,1,0.22215,0.00582
7753,1,1,1.63895,0.04295
7753,5,1,0.81947,0.02147
7753,6,1,1.75602,0.04602
7753,18,1,0.81947,0.02147
7753,20,1,1.63895,0.04295
7861,1,1,0.33387,0.00875
7861,5,1,1.55807,0.04083
7861,6,1,1.33549,0.03500
7861,18,1,1.00162,0.02625
7861,20,1,0.55645,0.01458
7970,1,1,1.52955,0.04008
7970,5,1,0.98328,0.02577
7970,6,1,0.98328,0.02577
7970,18,1,0.98328,0.02577
7970,20,1,0.43701,0.01145
8080,1,1,0.76471,0.02004
8080,5,1,1.09244,0.02863
8080,6,1,0.98320,0.02577
8080,18,1,0.10924,0.00286
8080,20,1,2.07564,0.05439
8180,1,1,1.19464,0.03131
8180,5,1,1.19464,0.03131
8180,6,1,1.19464,0.03131
8180,18,1,1.67249,0.04383
8180,20,1,0.59732,0.01565
8291,1,1,0.97877,0.02565
8291,5,1,0.76126,0.01995
8291,6,1,0.76126,0.01995
8291,18,1,2.06628,0.05415
8291,20,1,1.52252,0.03990
8391,1,1,1.67677,0.04394
8391,5,1,1.79654,0.04708
8391,6,1,1.31746,0.03452
8391,18,1,1.19769,0.03139
8391,20,1,1.07792,0.02825
8500,1,1,0.10953,0.00287
8500,5,1,0.10953,0.00287
8500,6,1,1.31434,0.03444
8500,18,1,0.21906,0.00574
8500,20,1,0.43811,0.01148
8610,1,1,1.41121,0.03698
8610,5,1,0.54277,0.01422
8610,6,1,0.86844,0.02276
8610,18,1,0.97699,0.02560
8610,20,1,1.51977,0.03983
8720,1,1,1.30656,0.03424
8720,5,1,2.50424,0.06562
8720,6,1,1.30656,0.03424
8720,18,1,1.74208,0.04565
8720,20,1,0.76216,0.01997
8821,1,1,1.31320,0.03441
8821,5,1,0.83567,0.02190
8821,6,1,0.95505,0.02503
8821,18,1,1.19382,0.03128
8821,20,1,1.55196,0.04067
8931,1,1,0.87361,0.02289
8931,5,1,1.41962,0.03720
8931,6,1,0.76441,0.02003
8931,18,1,0.76441,0.02003
8931,20,1,0.54601,0.01431
9032,1,1,1.18461,0.03104
9032,5,1,0.82923,0.02173
9032,6,1,1.06615,0.02794
9032,18,1,0.94769,0.02483
9032,20,1,1.77692,0.04656
9141,1,1,1.10128,0.02886
9141,5,1,0.77089,0.02020
9141,6,1,1.10128,0.02886
9141,18,1,1.32153,0.03463
9141,20,1,0.66077,0.01732
9250,1,1,0.76574,0.02007
9250,5,1,0.98452,0.02580
9250,6,1,1.20330,0.03153
9250,18,1,0.76574,0.02007
9250,20,1,1.53147,0.04013
9351,1,1,0.35784,0.00938
9351,5,1,0.59640,0.01563
9351,6,1,1.19279,0.03126
9351,18,1,0.71568,0.01875
9351,20,1,0.47712,0.01250
9460,1,1,2.51132,0.06581
9460,5,1,1.63781,0.04292
9460,6,1,1.20106,0.03147
9460,18,1,1.63781,0.04292
9460,20,1,1.85619,0.04864
9561,1,1,0.00000,0.00000
9561,5,1,0.83080,0.02177
9561,6,1,0.71212,0.01866
9561,18,1,0.83080,0.02177
9561,20,1,0.35606,0.00933
9671,1,1,0.00000,0.00000
9671,5,1,1.20168,0.03149
9671,6,1,1.20168,0.03149
9671,18,1,1.09243,0.02863
9671,20,1,0.21849,0.00573
9781,1,1,3.16011,0.08281
9781,5,1,1.19866,0.03141
9781,6,1,0.98072,0.02570
9781,18,1,1.30763,0.03427
9781,20,1,2.28835,0.05997
9890,1,1,0.43788,0.01147
9890,5,1,1.09470,0.02869
9890,6,1,1.20417,0.03156
9890,18,1,1.09470,0.02869
9890,20,1,0.76629,0.02008
10000,1,1,0.00000,0.00000
10000,5,1,0.54696,0.01433
10000,6,1,0.76575,0.02007
10000,18,1,0.76575,0.02007
10000,20,1,1.09393,0.02867
10100,1,1,0.95660,0.02507
10100,5,1,1.55447,0.04074
10100,6,1,1.07617,0.02820
10100,18,1,1.31532,0.03447
10100,20,1,0.83702,0.02193
10200,1,1,2.99256,0.07842
10200,5,1,1.19702,0.03137
10200,6,1,1.19702,0.03137
10200,18,1,0.83792,0.02196
10200,20,1,1.31673,0.03451
10310,1,1,0.10903,0.00286
10310,5,1,0.76321,0.02000
10310,6,1,1.30837,0.03429
10310,18,1,0.98128,0.02571
10310,20,1,0.76321,0.02000
10412,1,1,1.64277,0.04305
10412,5,1,1.17341,0.03075
10412,6,1,0.93873,0.02460
10412,18,1,0.93873,0.02460
10412,20,1,1.17341,0.03075
10520,1,1,0.77964,0.02043
10520,5,1,1.11378,0.02919
10520,6,1,1.00240,0.02627
10520,18,1,1.44791,0.03794
10520,20,1,1.44791,0.03794
10620,1,1,0.59766,0.01566
10620,5,1,0.35860,0.00940
10620,6,1,1.19533,0.03132
10620,18,1,0.35860,0.00940
10620,20,1,0.59766,0.01566
10722,1,1,1.41785,0.03716
10722,5,1,1.65416,0.04335
10722,6,1,1.18154,0.03096
10722,18,1,1.53600,0.04025
10722,20,1,0.82708,0.02167
10831,1,1,1.32025,0.03460
10831,5,1,0.77014,0.02018
10831,6,1,0.66012,0.01730
10831,18,1,1.10021,0.02883
10831,20,1,1.43027,0.03748
10940,1,1,1.09350,0.02866
10940,5,1,1.42155,0.03725
10940,6,1,0.98415,0.02579
10940,18,1,0.76545,0.02006
10940,20,1,1.53090,0.04012
11043,1,1,1.16229,0.03046
11043,5,1,0.92983,0.02437
11043,6,1,1.27852,0.03350
11043,18,1,1.62720,0.04264
11043,20,1,0.58114,0.01523
11150,1,1,0.78346,0.02053
11150,5,1,0.89538,0.02346
11150,6,1,1.23115,0.03226
11150,18,1,0.55961,0.01466
11150,20,1,0.89538,0.02346
11260,1,1,0.87103,0.02283
11260,5,1,1.08879,0.02853
11260,6,1,1.08879,0.02853
11260,18,1,1.41543,0.03709
11260,20,1,1.08879,0.02853
11371,1,1,1.08443,0.02842
11371,5,1,1.08443,0.02842
11371,6,1,1.19287,0.03126
11371,18,1,1.08443,0.02842
11371,20,1,1.08443,0.02842
11481,1,1,1.20343,0.03154
11481,5,1,1.42224,0.03727
11481,6,1,0.00000,0.00000
11481,18,1,1.53164,0.04014
11481,20,1,1.42224,0.03727
11590,1,1,1.09031,0.02857
11590,5,1,0.54515,0.01429
11590,6,1,1.96255,0.05143
11590,18,1,0.54515,0.01429
11590,20,1,0.54515,0.01429
11690,1,1,0.83818,0.02196
11690,5,1,1.67637,0.04393
11690,6,1,0.00000,0.00000
11690,18,1,1.07767,0.02824
11690,20,1,1.67637,0.04393
11794,1,1,0.92987,0.02437
11794,5,1,0.58117,0.01523
11794,6,1,0.00000,0.00000
11794,18,1,1.16233,0.03046
11794,20,1,0.58117,0.01523
11900,1,1,1.57200,0.04119
11900,5,1,1.23514,0.03237
11900,6,1,2.69485,0.07062
11900,18,1,0.78600,0.02060
11900,20,1,1.79657,0.04708
12000,1,1,0.71888,0.01884
12000,5,1,1.07832,0.02826
12000,6,1,1.67739,0.04396
12000,18,1,1.67739,0.04396
12000,20,1,0.47925,0.01256
12102,1,1,0.82929,0.02173
12102,5,1,0.94775,0.02484
12102,6,1,0.11847,0.00310
12102,18,1,0.59235,0.01552
