Time_ms,UE_ID,RB_ID,Throughput_Mbps,Repetition,Scenario,Num_UEs
87465,5,1,1.09679,55,cb,5
87465,3,1,1.09049,56,cb,5
87465,4,1,1.09049,56,cb,5
87465,5,1,1.09049,56,cb,5
87466,2,1,1.09069,50,cb,5
87466,3,1,1.09069,50,cb,5
87468,2,1,1.09107,39,cb,5
87468,3,1,1.09107,39,cb,5
87468,2,1,1.08688,51,cb,5
87468,3,1,1.08688,51,cb,5
87469,1,1,1.07626,55,cb,5
87469,2,1,0.96863,55,cb,5
87470,1,1,74.6303,22,cb,5
87474,3,1,1.09077,57,cb,5
87474,4,1,1.09077,57,cb,5
87474,5,1,1.09077,57,cb,5
87475,1,1,1.07707,8,cb,5
87475,1,1,1.07776,9,cb,5
87475,1,1,1.07772,16,cb,5
87475,1,1,1.08878,26,cb,5
87475,2,1,1.07756,41,cb,5
87475,3,1,1.07756,41,cb,5
87475,2,1,1.08935,43,cb,5
87475,3,1,1.08935,43,cb,5
87477,2,1,1.09058,37,cb,5
87477,3,1,1.09058,37,cb,5
87477,2,1,1.09231,38,cb,5
87477,3,1,1.09231,38,cb,5
87484,2,1,1.09703,52,cb,5
87484,3,1,1.09703,52,cb,5
87485,1,1,0.98266,1,cb,5
87485,1,1,1.08997,6,cb,5
87485,2,1,1.09151,42,cb,5
87485,3,1,1.09151,42,cb,5
87486,1,1,1.07798,25,cb,5
87487,2,1,1.09114,36,cb,5
87487,3,1,1.09114,36,cb,5
87488,2,1,1.07476,32,cb,5
87488,3,1,1.07476,32,cb,5
87496,3,1,1.08424,58,cb,5
87496,4,1,1.08424,58,cb,5
87496,5,1,1.08424,58,cb,5
87498,2,1,1.09291,40,cb,5
87498,3,1,1.09291,40,cb,5
87503,1,1,11.90359,43,cb,5
87503,5,1,11.90359,43,cb,5
87503,4,1,11.90359,43,cb,5
87505,1,1,1.07746,3,cb,5
87515,1,1,1.07737,10,cb,5
87515,2,1,1.09128,33,cb,5
87515,3,1,1.09128,33,cb,5
87515,2,1,1.0757,34,cb,5
87515,3,1,1.0757,34,cb,5
87516,1,1,1.41833,17,cb,5
87524,2,1,1.09657,44,cb,5
87524,3,1,1.09657,44,cb,5
87525,1,1,1.07519,45,cb,5
87525,5,1,1.07519,45,cb,5
