[UE 11 | RBs:  1 ] Total Throughput = 0.23711 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23711 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32935 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21957 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21957 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21371 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21371 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.21371 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22125 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33187 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33187 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.23749 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23749 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23749 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.35846 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.23898 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23898 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21911 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21911 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32867 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.22033 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.33049 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.22033 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.47606 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35705 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.23803 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21760 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.21760 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32640 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.47273 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.35455 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.35455 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.21927 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.32891 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.32891 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.33075 Mbps
[UE 11 | RBs:  1 ] Total Throughput = 0.44100 Mbps
[UE 12 | RBs:  1 ] Total Throughput = 0.33075 Mbps
[UE 7 | RBs:  1 ] Total Throughput = 0.32680 Mbps
